Sample Names	MutationTypes	Signature A	Signature B
PD4120a	CG>TC	0.0	1.0
PD4120a	CG>TT	0.0	1.0
PD4120a	CT>AA	0.0	1.0
PD4120a	CT>AC	0.0	1.0
PD4120a	CT>AG	0.0	1.0
PD4120a	CT>GA	0.0	1.0
PD4120a	CT>GC	0.0	1.0
PD4120a	CT>GG	0.0	1.0
PD4120a	CT>TA	0.0	1.0
PD4120a	CT>TC	0.0	1.0
PD4120a	CT>TG	0.0	1.0
PD4120a	GC>AA	0.0	1.0
PD4120a	GC>AG	0.0	1.0
PD4120a	GC>AT	0.0	1.0
PD4120a	GC>CA	0.0	1.0
PD4120a	GC>CG	0.0	1.0
PD4120a	GC>TA	0.0	1.0
PD4120a	TA>AT	0.0	1.0
PD4120a	TA>CG	0.0	1.0
PD4120a	TA>CT	0.0	1.0
PD4120a	TA>GC	0.0	1.0
PD4120a	TA>GG	0.0	1.0
PD4120a	TA>GT	0.0	1.0
PD4120a	TC>AA	0.0	1.0
PD4120a	TC>AG	0.0	1.0
PD4120a	TC>AT	0.0	1.0
PD4120a	TC>CA	0.0	1.0
PD4120a	TC>CG	0.0	1.0
PD4120a	TC>CT	0.0	1.0
PD4120a	TC>GA	0.0	1.0
PD4120a	TC>GG	0.0	1.0
PD4120a	TC>GT	0.0	1.0
PD4120a	TG>AA	0.0	1.0
PD4120a	TG>AC	0.0	1.0
PD4120a	TG>AT	0.0	1.0
PD4120a	TG>CA	0.0	1.0
PD4120a	TG>CC	0.0	1.0
PD4120a	TG>CT	0.0	1.0
PD4120a	TG>GA	0.0	1.0
PD4120a	TG>GC	0.0	1.0
PD4120a	TG>GT	0.0	1.0
PD4120a	TT>AA	0.0	1.0
PD4120a	TT>AC	0.0	1.0
PD4120a	TT>AG	0.0	1.0
PD4120a	TT>CA	0.0	1.0
PD4120a	TT>CC	0.0	1.0
PD4120a	TT>CG	0.0	1.0
PD4120a	TT>GA	0.0	1.0
PD4120a	TT>GC	0.0	1.0
PD4120a	TT>GG	0.0	1.0
PD4198a	AC>CA	0.7463637013494931	0.2536362986505069
PD4198a	AC>CG	0.3380347645732828	0.6619652354267173
PD4198a	AC>CT	0.9139617156793293	0.0860382843206707
PD4198a	AC>GA	0.7094749652166163	0.2905250347833836
PD4198a	AC>GG	0.9988017673864751	0.0011982326135248928
PD4198a	AC>GT	0.9981261116022054	0.001873888397794585
PD4198a	AC>TA	0.999885573763332	0.00011442623666791072
PD4198a	AC>TG	0.9996040410025637	0.0003959589974364059
PD4198a	AC>TT	0.4012621198333605	0.5987378801666394
PD4198a	AT>CA	0.8709532513744431	0.12904674862555685
PD4198a	AT>CC	0.5283393770556656	0.4716606229443344
PD4198a	AT>CG	0.5283393770556656	0.4716606229443344
PD4198a	AT>GA	0.3758973185805827	0.6241026814194174
PD4198a	AT>GC	0.8116093927697992	0.18839060723020085
PD4198a	AT>TA	0.9998222428365494	0.00017775716345065125
PD4198a	CC>AA	0.8696316739662017	0.1303683260337983
PD4198a	CC>AG	0.9090953429496845	0.09090465705031549
PD4198a	CC>AT	0.6936569365107399	0.30634306348926016
PD4198a	CC>GA	0.9812014547534105	0.01879854524658955
PD4198a	CC>GG	0.9998438940438024	0.0001561059561975641
PD4198a	CC>GT	0.1422020697185646	0.8577979302814355
PD4198a	CC>TA	0.09456622589700797	0.9054337741029921
PD4198a	CC>TG	0.26598826340796794	0.734011736592032
PD4198a	CC>TT	0.058088086321402096	0.941911913678598
PD4198a	CG>AT	0.9983809284691793	0.0016190715308207861
PD4198a	CG>GC	0.5283393770556656	0.4716606229443344
PD4198a	CG>GT	0.48330398603874675	0.5166960139612533
PD4198a	CG>TA	0.6778712046639529	0.32212879533604716
PD4198a	CG>TC	0.5283393770556656	0.4716606229443344
PD4198a	CG>TT	0.5283393770556656	0.4716606229443344
PD4198a	CT>AA	0.44974214945130353	0.5502578505486964
PD4198a	CT>AC	0.7701688581086809	0.22983114189131906
PD4198a	CT>AG	0.9108382059341577	0.08916179406584233
PD4198a	CT>GA	0.9998710379351381	0.00012896206486195222
PD4198a	CT>GC	0.38296099788230253	0.6170390021176975
PD4198a	CT>GG	0.36326873959618505	0.6367312604038149
PD4198a	CT>TA	0.07457882284469354	0.9254211771553065
PD4198a	CT>TC	0.33150271781052926	0.6684972821894708
PD4198a	CT>TG	0.5898353734887515	0.4101646265112485
PD4198a	GC>AA	0.7388960038480316	0.2611039961519685
PD4198a	GC>AG	0.4558147336623291	0.5441852663376708
PD4198a	GC>AT	0.7760519858001307	0.22394801419986923
PD4198a	GC>CA	0.700479133100983	0.29952086689901697
PD4198a	GC>CG	0.5283393770556656	0.4716606229443344
PD4198a	GC>TA	0.43396536624062504	0.566034633759375
PD4198a	TA>AT	0.7048829507160145	0.2951170492839856
